ID REF;LÍNEA;PRODUCTO;P. CONTADO;P. DIGITAL (QR)
TC-028;COMERCIAL;BORDADORA JANOME MC550E;Gs. 14.190.000;Gs. 14.790.000
TC-029;COMERCIAL;BORDADORA JANOME MB7;Gs. 51.290.000;Gs. 53.490.000
TC-030;INDUSTRIAL;BORDADORA INDUSTRIAL WILPEX WP121C;Gs. 46.190.000;Gs. 48.190.000
TC-031;COMERCIAL;OVERLOCK FLIAR WILPEX WP334;Gs. 2.390.000;Gs. 2.490.000
TC-032;COMERCIAL;COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR;Gs. 3.590.000;Gs. 3.790.000
TC-033;COMERCIAL;CAMEO PLUS;Gs. 4.290.000;Gs. 4.490.000
TC-034;COMERCIAL;CAMEO 15 PULGADAS;Gs. 4.690.000;Gs. 4.890.000
TC-035;COMERCIAL;CAMEO 24 PULGADAS;Gs. 5.890.000;Gs. 6.190.000
TC-036;COMERCIAL;CORTADORA DE PLOTTER WILPPEX 75CM;Gs. 4.190.000;Gs. 4.390.000
TC-037;COMERCIAL;PRENSA TAZAS DOBLE;Gs. 1.290.000;Gs. 1.390.000
TC-038;COMERCIAL;PRENSA TAZAS 5 EN 1;Gs. 3.590.000;Gs. 3.790.000
TC-039;INDUSTRIAL;BORDADORA WILPEX IND 15 AGUJAS SMART;Gs. 46.790.000;Gs. 48.790.000
TC-040;INDUSTRIAL;PRENSA MANUAL 100X80;Gs. 16.590.000;Gs. 17.290.000
TC-041;INDUSTRIAL;DOBLE BANDEJA;Gs. 39.690.000;Gs. 41.390.000
TC-042;INDUSTRIAL;CALANDRA 1.7 ROLLO A ROLLO;Gs. 105.190.000;Gs. 109.590.000
TC-043;INDUSTRIAL;CALANDRA 1.8;Gs. 38.990.000;Gs. 40.690.000
TC-044;INDUSTRIAL;EPSON F570+100X80+MULTI+OVERLOCK+COLLARETA FLIAR;Gs. 40.090.000;Gs. 41.790.000
TC-045;INDUSTRIAL;MAQUINA DE COSER RECTA IND WILPEX;Gs. 2.790.000;Gs. 2.990.000
TC-046;INDUSTRIAL;MAQUIINA DE COSER OVERLOCK IND WILPEX;Gs. 4.190.000;Gs. 4.390.000
TC-047;INDUSTRIAL;MAQUINA DE COSER COLLARETA IND WILPEX;Gs. 5.390.000;Gs. 5.690.000
SC-142;INDUSTRIAL;IMP EPSON F6470 IMPARABLES SIN TINTAS;U$D 8.490;U$D 8.890
