CODIGO,NOMBRE_PRODUCTO,CATEGORIA,LINEA,PROVEEDOR,MONEDA,COSTO,ESTADO,NOTAS
TC-033,CAMEO PLUS,IMPRESORAS,COMERCIAL,Todo Costura,GS,3300000.0,ACTIVO,
TC-034,CAMEO 15 PULGADAS,IMPRESORAS,COMERCIAL,Todo Costura,GS,3600000.0,ACTIVO,
TC-035,CAMEO 24 PULGADAS,IMPRESORAS,COMERCIAL,Todo Costura,GS,4500000.0,ACTIVO,
TC-036,CORTADORA DE PLOTTER WILPPEX 75CM,IMPRESORAS,COMERCIAL,Todo Costura,GS,3200000.0,ACTIVO,
TC-037,PRENSA TAZAS DOBLE,IMPRESORAS,COMERCIAL,Todo Costura,GS,995000.0,ACTIVO,
TC-038,PRENSA TAZAS 5 EN 1,IMPRESORAS,COMERCIAL,Todo Costura,GS,2700000.0,ACTIVO,
TC-039,BORDADORA WILPEX IND 15 AGUJAS SMART,SURECOLOR,INDUSTRIAL,Todo Costura,GS,36000000.0,ACTIVO,
TC-040,PRENSA MANUAL 100X80,SURECOLOR,INDUSTRIAL,Todo Costura,GS,12750000.0,ACTIVO,
TC-041,DOBLE BANDEJA,SURECOLOR,INDUSTRIAL,Todo Costura,GS,30500000.0,ACTIVO,
TC-042,CALANDRA 1.7 ROLLO A ROLLO,SURECOLOR,INDUSTRIAL,Todo Costura,GS,81000000.0,ACTIVO,
TC-043,CALANDRA 1.8,SURECOLOR,INDUSTRIAL,Todo Costura,GS,30000000.0,ACTIVO,
TC-044,EPSON F570+100X80+MULTI+OVERLOCK+COLLARETA FLIAR,SURECOLOR,INDUSTRIAL,Todo Costura,GS,30819955.16,ACTIVO,
TC-045,MAQUINA DE COSER RECTA IND WILPEX,SURECOLOR,INDUSTRIAL,Todo Costura,GS,2120000.0,ACTIVO,
TC-046,MAQUIINA DE COSER OVERLOCK IND WILPEX,SURECOLOR,INDUSTRIAL,Todo Costura,GS,3200000.0,ACTIVO,
TC-047,MAQUINA DE COSER COLLARETA IND WILPEX,SURECOLOR,INDUSTRIAL,Todo Costura,GS,4100000.0,ACTIVO,
